,Personal Data,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,FEC id,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,WFP,CPC,Sunrise,Sanders,RFFA,AIPAC,DMFI,J Street,Party Committee,Notes
Jeanette Cass,Female,white,,,No,No,Missouri,8/6/24,Representative,4,,16077,61.53%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike McCaffree,Male,white,,,No,No,Missouri,8/6/24,Representative,4,,10053,38.47%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Emanuel Cleaver II,Male,black,,,Yes,No,Missouri,8/6/24,Representative,5,H4MO05234,65248,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Rich Gold,Male,white,,,No,No,Missouri,8/6/24,Representative,6,,7781,27.87%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pam May,Female,white,,,No,No,Missouri,8/6/24,Representative,6,,20135,72.13%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Missi Hesketh,Female,white,,,No,No,Missouri,8/6/24,Representative,7,,21854,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Randi McCallian,Female,white,,,No,No,Missouri,8/6/24,Representative,8,,12571,70.41%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Franklin Delano Roth II,Male,white,,,No,No,Missouri,8/6/24,Representative,8,,5283,29.59%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sheryl Gladney,Female,black,,,No,No,Missouri,8/6/24,Governor,N/A,,25370,6.70%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Hamra,Male,white,,,No,No,Missouri,8/6/24,Governor,N/A,,119901,31.67%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hollis L. Laster,Male,black,,,No,No,Missouri,8/6/24,Governor,N/A,,5990,1.58%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eric Morrison,Male,white,,,No,No,Missouri,8/6/24,Governor,N/A,,37084,9.80%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Crystal Quade,Female,white,,,No,No,Missouri,8/6/24,Governor,N/A,,190228,50.25%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mita Biswas,Female,,,,No,No,Missouri,8/6/24,Senator,N/A,,7647,2.02%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
December L. Harmon,Female,black,,,No,No,Missouri,8/6/24,Senator,N/A,,26804,7.09%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Lucas Kunce,Male,white,,,No,No,Missouri,8/6/24,Senator,N/A,,255775,67.64%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Karla May,Female,black,,,No,No,Missouri,8/6/24,Senator,N/A,,87908,23.25%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Suzan DelBene,Female,white,,,Yes,No,Washington,8/6/24,Representative,1,H0WA08046,109456,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
Josh Binda,Male,black,,,No,Yes,Washington,8/6/24,Representative,2,,10497,7.83%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,
Devin Hermanson,Male,unknown,,,No,Yes,Washington,8/6/24,Representative,2,,9578,7.15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,
Rick Larsen,Male,white,,,Yes,No,Washington,8/6/24,Representative,2,H0WA02080,106276,79.29%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,
Edwin Stickle,Male,white,,,No,Yes,Washington,8/6/24,Representative,2,,7692,5.74%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,
Marie Gluesenkamp Perez,Female,hispanic,,,Yes,No,Washington,8/6/24,Representative,3,H2WA03217,97274,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Mary Baechler,Female,native american (yakama),,,No,No,Washington,8/6/24,Representative,4,,22353,62.12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Barry Knowles,Male,white,,,No,No,Washington,8/6/24,Representative,4,,3329,9.25%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Malan,Male,unknown,,,No,No,Washington,8/6/24,Representative,4,,711,1.98%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Party: MAGA Democrat
"""Birdie"" Jane Muchlinski",Female,white,,,No,No,Washington,8/6/24,Representative,4,,9593,26.66%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bernadine Bank,Female,white,,,No,No,Washington,8/6/24,Representative,5,,24111,30.46%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bobbi Bennett-Wolcott,Female,white,,,No,No,Washington,8/6/24,Representative,5,,2336,2.95%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Carmela Conroy,Female,white,,,No,No,Washington,8/6/24,Representative,5,,37227,47.03%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ann Marie Danimus,Female,white,,,No,No,Washington,8/6/24,Representative,5,,11306,14.28%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Matthew Welde,Male,white,,,No,No,Washington,8/6/24,Representative,5,,4183,5.28%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hilary Franz,Female,white,,,No,No,Washington,8/6/24,Representative,6,,57824,41.88%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Emily Randall,Female,hispanic,,,No,No,Washington,8/6/24,Representative,6,,80249,58.12%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Liz Hallock,Female,white,,,No,Yes,Washington,8/6/24,Representative,7,,16494,8.66%,Lost,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,No,N/A,
Pramila Jayapal,Female,asian (indian),,,Yes,No,Washington,8/6/24,Representative,7,H6WA07458,174019,91.34%,Won,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,Yes,N/A,
Keith Arnold,Male,black,,,No,Yes,Washington,8/6/24,Representative,8,,2603,2.26%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,N/A,
Kim Schrier,Female,white,,,Yes,No,Washington,8/6/24,Representative,8,H8WA08189,105069,91.33%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
Imraan Siddiqi,Male,middle eastern,,,No,Yes,Washington,8/6/24,Representative,8,,7374,6.41%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,N/A,
Melissa Chaudhry,Female,asian (indian)*,white,,No,Yes,Washington,8/6/24,Representative,9,,30229,27.74%,Made runoff,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,
Adam Smith,Male,white,,,Yes,No,Washington,8/6/24,Representative,9,H6WA09025,78761,72.26%,Made runoff,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Eric Mahaffy,Male,white,,,No,Yes,Washington,8/6/24,Representative,10,,3527,3.39%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,
Marilyn Strickland,Female,black,,,Yes,No,Washington,8/6/24,Representative,10,H0WA10034,93942,90.42%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Desirée C. Toliver,Female,black,,,No,Yes,Washington,8/6/24,Representative,10,,6424,6.18%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,
Bob Ferguson,Male,black,,,No,No,Washington,8/6/24,Governor,N/A,,884268,81.74%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ricky Anthony,Male,black,,,No,No,Washington,8/6/24,Governor,N/A,,6226,0.58%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Edward Cale IV,Male,white,,,No,No,Washington,8/6/24,Governor,N/A,,1975,0.18%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Fred Grant,Male,white,,,No,No,Washington,8/6/24,Governor,N/A,,5503,0.51%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cassondra Magdalene Hanson,Female,white,,,No,No,Washington,8/6/24,Governor,N/A,,24512,2.27%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chaytan Inman,Male,white,,,No,No,Washington,8/6/24,Governor,N/A,,6427,0.59%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
EL'ona Kearney,Female,black,,,No,No,Washington,8/6/24,Governor,N/A,,24374,2.25%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark Mullet,Male,white,,,No,No,Washington,8/6/24,Governor,N/A,,119048,11.00%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Don L. Rivers,Male,black,,,No,No,Washington,8/6/24,Governor,N/A,,9453,0.87%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Maria Cantwell,Female,white,,,Yes,No,Washington,8/6/24,Senator,N/A,S8WA00194,1114327,98.46%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Paul Lawrence Giesick,Male,black,,,No,Yes,Washington,8/6/24,Senator,N/A,,17433,1.54%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,
Ed Case,Male,,,,Yes,No,Hawaii,8/10/24,Representative,1,H2HI02128,84114,92.01%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,
Cecil R. Hale,Male,,,,No,Yes,Hawaii,8/10/24,Representative,1,,7308,7.99%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,
Jill N. Tokuda,Female,,,,Yes,No,Hawaii,8/10/24,Representative,2,H2HI02581,84978,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Ron Curtis,Male,,,,No,Yes,Hawaii,8/10/24,Senator,N/A,,14271,7.33%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,
Mazie K. Hirono,Female,,,,Yes,No,Hawaii,8/10/24,Senator,N/A,S2HI00106,176131,90.47%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Clyde McClain (Mac) Lewman,Male,,,,No,Yes,Hawaii,8/10/24,Senator,N/A,,4287,2.20%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,
John B. Larson,Male,,,,Yes,No,Connecticut,8/13/24,Representative,1,H8CT01046,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Joe Courtney,Male,,,,Yes,No,Connecticut,8/13/24,Representative,2,H2CT02112,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Rosa L. DeLauro,Female,,,,Yes,No,Connecticut,8/13/24,Representative,3,H0CT03072,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,N/A,Yes,N/A,
Jim Himes,Male,,,,Yes,No,Connecticut,8/13/24,Representative,4,H8CT04172,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,
Jahana Hayes,Female,,,,Yes,No,Connecticut,8/13/24,Representative,5,H8CT05245,1,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Christopher S. Murphy,Male,,,,Yes,No,Connecticut,8/13/24,Senator,N/A,S2CT00132,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Rachel Bohman,Female,,,,No,No,Minnesota,8/13/24,Representative,1,,26406,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Angie Craig,Female,,,,Yes,No,Minnesota,8/13/24,Representative,2,H6MN02131,26865,91.02%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Marc Ives,Male,,,,No,Yes,Minnesota,8/13/24,Representative,2,,2649,8.98%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,
Kelly Morrison,Female,,,,No,No,Minnesota,8/13/24,Representative,3,,1,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Betty McCollum,Female,,,,Yes,No,Minnesota,8/13/24,Representative,4,H0MN04049,37530,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Ilhan Omar,Female,,,,Yes,No,Minnesota,8/13/24,Representative,5,H8MN05239,67926,56.23%,Won,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,
Abena A. McKenzie,Female,,,,No,Yes,Minnesota,8/13/24,Representative,5,,461,0.38%,Lost,N/A,N/A,N/A,N/A,No,N/A,No,No,No,No,N/A,N/A,N/A,N/A,N/A,
Don Samuels,Male,,,,No,Yes,Minnesota,8/13/24,Representative,5,,51839,42.91%,Lost,N/A,N/A,N/A,N/A,No,N/A,No,No,No,No,N/A,N/A,N/A,N/A,N/A,
Nate Schluter,Male,,,,No,Yes,Minnesota,8/13/24,Representative,5,,575,0.48%,Lost,N/A,N/A,N/A,N/A,No,N/A,No,No,No,No,N/A,N/A,N/A,N/A,N/A,
Jeanne Hendricks,Female,,,,No,No,Minnesota,8/13/24,Representative,6,,14895,83.81%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Austin D. Winkelman,Male,,,,No,No,Minnesota,8/13/24,Representative,6,,2878,16.19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AJ (John) Peters,Male,,,,No,No,Minnesota,8/13/24,Representative,7,,16828,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Munter,Male,,,,No,no,Minnesota,8/13/24,Representative,8,,3194,9.04%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jen Schultz,Female,,,,No,no,Minnesota,8/13/24,Representative,8,,32149,90.96%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steve Carlson,Male,,,,No,Yes,Minnesota,8/13/24,Senator,N/A,,9535,2.95%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,No,N/A,
Ahmad R. Hassan,Male,,,,No,Yes,Minnesota,8/13/24,Senator,N/A,,4891,1.51%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,No,N/A,
George H. Kalberer,Male,,,,No,Yes,Minnesota,8/13/24,Senator,N/A,,1578,0.49%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,No,N/A,
Amy Klobuchar,Female,,,,Yes,No,Minnesota,8/13/24,Senator,N/A,S6MN00267,305055,94.29%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,Yes,N/A,
Ole Savior,Male,,,,No,Yes,Minnesota,8/13/24,Senator,N/A,,2478,0.77%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,No,N/A,
Becca Balint,Female,white (jewish),,,Yes,No,Vermont,8/13/24,Representative,1,H2VT01076,47638,99.03%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Esther Charlestin,Female,black,,,No,No,Vermont,8/13/24,Governor,N/A,,24007,62.29%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Peter K. Duval,Male,white,,,No,No,Vermont,8/13/24,Governor,N/A,,9377,24.33%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bernie Sanders,Male,,,,Yes,No,Vermont,8/13/24,Senator,N/A,S4VT00033,48189,98.80%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Peter Barca,Male,,,,No,No,Wisconsin,8/13/24,Representative,1,,59758,99.83%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,
Mark Pocan,Male,,,,Yes,No,Wisconsin,8/13/24,Representative,2,H2WI02124,149581,99.79%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rebecca Cooke,Female,,,,No,No,Wisconsin,8/13/24,Representative,3,,42316,50.51%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,
Katrina Shankland,Female,,,,No,No,Wisconsin,8/13/24,Representative,3,,34812,41.55%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Eric Wilson,Male,,,,No,No,Wisconsin,8/13/24,Representative,3,,6624,7.91%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Gwen Moore,Female,,,,Yes,No,Wisconsin,8/13/24,Representative,4,H4WI04183,85017,99.52%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Ben Steinhoff,Male,,,,No,No,Wisconsin,8/13/24,Representative,5,,57039,99.84%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Zarbano,Male,,,,No,No,Wisconsin,8/13/24,Representative,6,,54212,99.88%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Elsa Rae Duranceau,Female,,,,No,No,Wisconsin,8/13/24,Representative,7,,23795,41.91%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kyle Kilbourn,Male,,,,No,No,Wisconsin,8/13/24,Representative,7,,32917,57.98%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kristin Lyerly,Female,,,,No,No,Wisconsin,8/13/24,Representative,8,,56469,99.96%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Tammy Baldwin,Female,,,,Yes,No,Wisconsin,8/13/24,Senator,N/A,S2WI00219,639049,99.81%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Eric Hafner,Male,white,,,No,Yes,Alaska,8/20/24,Representative,1,,467,0.84%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,
Mary S. Peltola,Female,alaskan indigenous (yup'ik),,,Yes,No,Alaska,8/20/24,Representative,1,H2AK01158,55166,99.16%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Gay Valimont,Female,white,,,No,No,Florida,8/20/24,Representative,1,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Yen Bailey,Female,,,,No,No,Florida,8/20/24,Representative,2,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tom Wells,Male,white,,,No,No,Florida,8/20/24,Representative,3,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"LaShonda ""L.J."" Holloway",Female,black,,,No,No,Florida,8/20/24,Representative,4,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jay McGovern,Male,white,,,No,No,Florida,8/20/24,Representative,5,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
James David Stockton III,Male,black,,,No,No,Florida,8/20/24,Representative,6,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jennifer Adams,Female,white,,,No,No,Florida,8/20/24,Representative,7,,23191,62.65%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tatiana Fernandez,Female,hispanic,,,No,No,Florida,8/20/24,Representative,7,,5982,16.16%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Allek Pastrana,Male,hispanic,,,No,No,Florida,8/20/24,Representative,7,,7844,21.19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sandy Kennedy,Female,white,,,No,No,Florida,8/20/24,Representative,8,,24701,60.69%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Daniel McDow,Male,white,,,No,No,Florida,8/20/24,Representative,8,,15999,39.31%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Darren Soto,Male,white,,,Yes,No,Florida,8/20/24,Representative,9,H6FL09179,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Wade Darius,Male,black,,,No,Yes,Florida,8/20/24,Representative,10,,5106,12.57%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Maxwell Alejandro Frost,Male,middle eastern (lebanese),hispanic (argentine),,Yes,No,Florida,8/20/24,Representative,10,H2FL10259,33208,81.77%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"V. ""Issa"" White",Male,black,,,No,Yes,Florida,8/20/24,Representative,10,,2295,5.65%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Barbie Harden Hall,Female,white,,,No,No,Florida,8/20/24,Representative,11,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rock Aboujaoude Jr.,Male,hispanic,,,No,No,Florida,8/20/24,Representative,12,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sabrina Bousbar,Female,hispanic,,,No,No,Florida,8/20/24,Representative,13,,8929,17.43%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
